Inflation rate, end of period consumer prices (Annual percent change);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Kiribati;no data;no data;no data;no data;no data;no data;no data;no data;no data;5,6;4;6,1;4,2;6,1;4;4,1;-1,7;2,5;4,7;0,4;1;7,6;0,8;1,3;-0,7;-0,6;3,1;0;24,2;-1,3;-1,9;-0,8;-3,8;0,8;3,1;0,6;0,7;2,5;1,4
Korea, Republic of;32,2;13,7;4,8;2;2,4;3;1,4;6,1;7,2;5,1;9,3;9,3;4,5;5,8;5,6;4,8;4,9;6,6;4;1,4;2,8;3,2;3,7;3,4;3;2,6;2,1;3,6;4,1;2,8;3;4,2;1,4;1,1;0,8;1,1;1,3;1,4;1,3
Kosovo;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,5;-3,7;0,7;1,1;10,5;0,5;0,1;6,6;3,6;3,7;0,5;-0,4;-0,1;1,3;0,5;2,9
Kuwait;8,6;7;8,5;2;1,5;0,9;0,5;0,7;2,3;3,3;2,4;15,6;-0,9;2,7;3;2,1;2,4;0,7;1,2;3,7;0,4;2,9;-0,9;0,9;2,6;4,5;3,6;7,5;9;2,1;6;3,1;4,4;2,7;3;3;2,6;1;0,4
Kyrgyz Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;876,6;929,9;62,1;31;34,8;13;16,8;39,8;10,5;3,7;2,3;5,6;2,8;4,9;5,1;20,1;20;0;19,2;5,7;7,5;4;10,5;3,4;-0,5;3,7;0,5
Lao P.D.R.;no data;no data;no data;no data;no data;no data;no data;no data;14,8;75,9;29,2;10,4;6;10,3;5,7;28,8;12,8;8,7;141,9;86,7;10,6;7,5;15,2;12,6;8,7;8,8;4,5;5,7;3,2;3,9;5,8;7,7;4,7;6,6;2,4;0,9;2,5;0,1;1,5
Latvia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;34,8;26,4;23,1;13,1;6,4;2,7;3;1,7;3,2;1,5;3,6;7,3;7,1;6,7;14;10,4;-1,4;2,4;3,9;1,6;-0,4;0,3;0,4;2,1;2,2;2,5
Lebanon;no data;no data;9,6;3,8;25,3;60,1;146,8;741,2;34,8;30,4;77,1;34,2;110;4,6;11,8;11;6,6;6,7;5,8;-2,7;-1,6;-0,1;3,7;2,2;2;-1,6;7,2;6;6,3;3,4;4,6;3,1;10,1;1,1;-0,7;-3,4;3,1;5;4
Lesotho;no data;12,5;19,1;10,4;11,3;19,8;12,7;9,1;15,8;12,1;17,7;16,5;15,3;6,1;10,7;9,3;8,8;7,3;8,9;6,3;7;10,9;7,7;5,2;3,7;5,1;5,9;10,6;10,5;3,5;3,6;7,2;5;5,5;2;7,5;4,4;4,8;5,2
Liberia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;8,1;3,2;19,3;11,1;5;7,5;7;11,9;11,7;9,4;9,7;6,6;11,4;7,7;8,5;7,7;8;12,5;13,9;28,5
Libya;13,7;13,7;12;11,5;10,6;6,2;3,7;3,8;3,8;6,6;10,8;11,7;9,4;7,5;10,7;8,3;0,9;3,3;3,8;1,7;-6,6;-10,3;-7,3;-1,3;-3,5;9,8;2,7;7,3;9,8;0,3;3,3;26,6;-3,7;1,7;7,1;15,7;25;31,4;-4,5
Lithuania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11,7;8,5;3,1;0,4;1,7;2;-0,9;-1,3;2,8;3;4,6;8,2;8,5;1,2;3,6;3,5;2,9;0,5;-0,2;-0,2;2;3,8;1,8
Luxembourg;7;8;10,4;8;3,3;4,1;-1,4;0,7;1,9;3,9;4,4;2,6;2,9;3,6;1,8;1,3;1,3;1,5;0,4;2,4;4,3;1;2,9;2,5;3,5;3,5;2,3;4,4;0,7;2,5;3,1;3,4;2,4;1,5;-1;0,8;1,5;1,6;1,9
Macao SAR;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;-1,6;-1,4;2,8;5,6;4,6;7,1;6,2;0,7;3,9;6,8;5,8;5,7;5,6;3,7;1,4;2;2,9
Madagascar;no data;30,5;31,9;19,5;9,8;11,6;10,7;29,2;17,3;10,6;13,8;11,7;16,1;8,3;61,2;37,3;8,3;4,8;6,4;10,1;9,9;5,7;13,5;-0,8;27,3;11,4;10,8;8,2;10,1;8;10,2;6,9;5,8;6,3;6;7,6;7;9;6,1
Malawi;no data;9;12,5;18,6;11,9;11,1;13,9;35,5;26,4;-1;23,2;7,4;36,1;18,3;66;74,9;6,7;15,2;53,1;28,2;35,4;22,1;11,5;9,8;13,7;16,6;10,1;7,5;9,9;7,6;6,3;9,8;34,6;23,5;24,2;24,9;20;7,1;9,9
Malaysia;7,1;8,5;5,5;3,1;1,7;1;1,4;0,4;3,5;2,1;7;4,4;4,8;3,5;3,5;3,2;3,3;2,9;5,3;2,5;1,2;1,2;1,6;1,2;2,2;3,2;3,1;2,3;4,5;1;2,1;3;1,2;3,2;2,7;2,7;1,7;3,5;0,2
Maldives;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;12,4;20,2;29,9;-12,6;8,1;12,8;-9,4;3,3;-2,7;7,6;-5;-1,5;10,1;2,9;3,1;8,9;8,9;5,4;6,9;16,7;5,4;3,1;1,2;1,2;1,8;2,2;0,5
Mali;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;-4,8;-4,2;0,4;32,1;9,1;2,8;1;3,1;-1,4;2,5;5,2;4,1;-5;1,5;3,4;3,6;2,6;7,4;1,7;1,9;5,3;2,4;0;1,2;1;-0,8;1,1;1
Malta;12,7;8,4;4,5;-3,2;1,2;0,5;1,4;0,8;0,7;-2,7;6,2;1;2,4;4,6;3,5;3,6;1,9;4,6;2,9;4,3;1;3,6;2,1;2,4;1,9;3,4;0,8;3,1;5;-0,4;4;1,5;2,7;1;0,4;1,3;1;1,3;1,2
Marshall Islands;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2,4;6,2;2,6;4,3;16,6;-5,8;5,2;6,3;2,9;1,9;1,1;-2,2;-1,5;0;0,8
Mauritania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3,6;17,6;1,5;2,7;9;4,5;5,5;8,2;1,9;5,6;1,7;8,4;2,4;16,1;5,8;8,9;7,4;3,9;4,9;6,1;5,5;3,4;4,5;5;-2,8;2,8;1,2;3,2
Mauritius;no data;15,5;12,9;4,9;7;7,1;2,8;1,2;8,3;14,4;10,4;8,6;6,4;15;6;6;7,4;5,1;9;4,9;4,8;5;5,1;3,9;5,6;3,9;11,9;8,6;6,8;1,5;6,2;4,8;3,2;4,1;0,2;1,3;2,3;4,3;1,8
Mexico;no data;27,4;98,9;80,7;59,2;63,7;105,8;159,2;51,7;19,7;29,9;18,8;11,9;8;7,1;52;27,7;15,7;18,6;12,3;9;4,4;5,7;4;5,2;3,3;4,1;3,8;6,5;3,6;4,4;3,8;3,6;4;4,1;2,1;3,4;6,8;4,8
Micronesia, Fed. States of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2,7;-0,6;-0,4;1,1;3,2;3,9;4,9;3,5;10,8;3,6;3,2;7,5;2,5;0,4;0,7;0;-0,9;0,1;1,5
Moldova;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;837;116,1;23,8;15,1;11,1;18,2;43,8;18,5;6,4;4,4;15,7;12,5;10;14,1;13,1;7,3;0,4;8,1;7,8;4;5,2;4,7;13,5;2,4;7,3;0,9
Mongolia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;208,6;325,5;183;66,3;53,1;44,6;19,9;6,1;9,3;8,5;7,9;1,7;4,4;11,1;9,4;4,8;14,1;23,1;2;14,5;9,4;14,1;11,3;10,7;1,1;0,8;7,2;9,7
Montenegro;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;25,7;27,9;9,4;6,2;4,2;1,8;2,8;7,7;7,2;1,5;0,4;3,6;5,1;0,3;-0,3;1,4;1;1,9;1,7
Morocco;9,7;13,2;6,7;12,5;7,5;9,5;4,4;2,4;1,5;5,6;7,5;8,2;3,9;5,9;5,7;4,1;3,9;1,5;2,2;0,9;1,7;1,7;1,4;1,8;0,5;2,1;3,3;2;4,2;-1,6;2,2;0,9;2,6;0,4;1,6;0,6;1,8;1,9;0,1
Mozambique;no data;9,5;23,3;29,7;29,8;33,9;41,4;185,3;51,3;28,4;47,1;35,2;54,5;43,6;56,6;56,5;19,3;6,2;-1;6,2;11,4;21,9;9,1;13,8;9,1;11,1;9,4;10,3;11,8;2,3;17,4;6,1;2;3,5;1,9;10,6;23,7;5,6;3,5
Myanmar;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;38,4;17,2;4,4;33,3;60,1;24,1;3,1;10;24,8;34,2;14,4;-0,1;6,5;3;4,1;5,7;3,6;13,6;3,9;3,4;8,6
Namibia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11,3;22,1;12,1;10,8;12,7;8,6;9,2;7,4;9,5;8,6;12,1;9;14,3;2,6;4,2;3,6;6;5,5;11,2;7,9;3,1;7,4;6,4;4,9;4,6;3,7;7,3;5,2;5,1
Nauru;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,2;22,3;5,1;3,9;18,3;-5,6;-1;0,3;-1,8;10;3,5;8,2;1,6;3,4
Nepal;no data;10,9;11,3;14,4;1,6;6,9;21,7;9,1;9;10,2;5,6;15,1;19,3;5,9;9,1;8,7;6;5,7;12;9;0,6;3,4;3,5;6,1;2;6,6;8,3;4,7;10,7;11,1;9;9,6;11,5;7,7;8,1;7,6;10,4;2,7;4,6
Netherlands;no data;7,3;4,3;3;2,8;1,7;-0,3;-0,5;1,2;1,3;4,7;4,1;1,7;1,6;2;1;1,9;2,2;1,5;2;3,1;5,3;3,3;1,6;1,2;2;1,7;1,6;1,7;0,7;1,8;2,5;3,3;1,3;-0,1;0,4;0,7;1,2;1,8
New Zealand;no data;no data;no data;no data;no data;no data;18,4;9,5;4,7;7,2;4,7;1;1,3;1,5;2,7;2,8;2,6;0,9;0,3;0,6;4;1,8;2,6;1,6;2,7;3,2;2,6;3,2;3,3;2,1;3,9;1,9;1;1,6;0,7;0,1;1,3;1,6;1,9
Nicaragua;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11,1;12,1;7,3;18,5;7,2;9,9;4,8;3,9;6,5;9,3;9,6;9,4;16,9;13,8;0,9;9,2;8;6,6;5,7;6,5;3,1;3,1;5,7;3,9
Niger;no data;23,6;-0,4;6,6;0,5;-5;-4,2;0,2;-4,6;1,6;-2,6;-6,9;-2,6;3,5;40,6;7,6;3,6;4,1;3,4;-1,9;4,6;3,2;0,6;-1,6;3,9;4,2;0,4;4,7;13,6;-3,1;1,4;1,4;0,7;1,1;-0,6;2,2;-2,2;1,8;1,6
Nigeria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;14,3;10,2;11,9;0,2;14,5;16,5;12,2;23,8;10;11,6;8,5;6,6;15,1;13,9;11,8;10,3;12;8;8;9,6;18,5;15,4;11,4
North Macedonia ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;-0,8;3,2;-2,1;3,3;5,8;4;0,8;2,7;-2,2;1,1;3,1;6,2;4,1;-1,4;3;2,8;4,7;1,3;-0,5;-0,3;-0,2;2,4;0,8
Norway;13,5;12;11,9;7,2;5,9;5,6;8,8;7,3;5,7;4,3;4,3;2,8;2,2;1,9;1,8;2,1;1,8;2,3;2,4;2,8;3;2,1;2,7;0,6;1,1;1,8;2,2;2,8;2,2;2;2,8;0,1;1,4;2;2,1;2,3;3,5;1,6;3,5
Oman;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2,7;1;0,2;-0,9;-0,3;0,1;0;0,5;-0,3;-1;-4,1;-0,1;-0,1;2;1,9;4,3;8,3;11,8;0,9;4,2;3,3;2,9;0,3;1;0,1;1,1;1,6;0,9
Pakistan;15,1;10,4;3,8;8,8;3,4;5;4,7;4,7;10,8;5,5;13,8;12,7;14,5;9,6;11,8;12,1;10,3;12,5;6,5;3,7;5,1;2,5;4,4;1,9;8,5;8,7;7,6;7;21,5;11;11,8;13,3;11,3;5,9;8,2;3,2;3,2;3,9;5,2
Palau;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;-2,4;0,3;0,7;0,8;5,2;3,9;2,6;16,8;-2,5;1,3;6,1;1,7;3,7;3,8;0,3;0,4;0,3;1,4
Panama;15,5;3,3;4,3;2,1;1,5;0,9;0,4;0,4;0,9;0,3;0,5;0,8;1,6;1;1,3;0,8;2,3;-0,5;1,4;1,5;0,7;0;1,8;-0,2;1,6;3,4;2,2;6,4;6,8;1,9;4,9;6,3;4,6;3,7;1;0,3;1,5;0,5;0,2
Papua New Guinea;no data;no data;no data;no data;4,4;4,3;5,3;3;7,5;1,8;8,9;5,7;5;4,8;6,5;18,7;5,3;5,3;21,8;13,2;10;10,4;14,8;8,4;2,4;4,7;-0,9;3,2;11,2;5,7;4,9;4,4;5,8;2,9;6,7;6,3;6,6;4,7;4,8
Paraguay;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;44,1;11,8;17,8;20,4;18,3;10,5;8,2;6,2;14,6;5,4;8,6;8,4;14,6;9,3;2,8;9,9;12,5;6;7,5;1,9;7,2;4,9;4;3,7;4,2;3,1;3,9;4,5;3,2
Peru;no data;no data;72,9;125,1;111,5;158,3;62,9;114,5;1722,1;2775,3;7649,7;139,2;56,7;39,5;15,4;10,2;11,8;6,5;6;3,7;3,7;-0,1;1,5;2,5;3,5;1,5;1,1;3,9;6,7;0,2;2,1;4,7;2,6;2,9;3,2;4,4;3,2;1,4;2,2
Philippines;15,4;16,3;8,1;13,1;50,8;5,7;-0,3;7;9,6;15,2;18,2;13,2;7,8;6,9;8,4;8,3;6,7;6,3;10,1;4;6,3;4,5;2,7;3,9;8,4;6,7;4,4;3,9;8,1;4,4;3,6;4,1;2,7;3,8;1,9;0,7;2,2;2,9;5,1
Poland;no data;no data;no data;no data;no data;287;-21,5;54,7;58,3;27,7;86,5;60,3;44,4;37,7;29,7;21,6;18,5;13,2;8,6;9,8;8,5;3,6;0,8;1,7;4,4;0,7;1,4;4;3,3;3,5;3,1;4,6;2,4;0,7;-1;-0,5;0,8;2,1;1,1
Portugal;13,2;25,4;19;33,5;21,5;16,7;10,4;8,9;11,9;11,5;14;9,3;8;5,9;3,9;3,4;2,8;2,1;2,8;1,7;3,8;3,9;4;2,3;2,6;2,5;2,5;2,7;0,8;-0,1;2,4;3,5;2,1;0,2;-0,3;0,3;0,9;1,6;0,6
Puerto Rico;no data;7,4;1,4;1;0,7;0,2;0,5;2,8;2,8;2,7;5,6;0,9;1,1;-0,1;2,2;2,6;3,9;0,4;-0,2;1,6;3,5;-2;2,3;0,5;4,9;5,9;4,5;4,2;1,4;3,9;0,5;3,3;1,2;0,8;0,1;-0,2;0,5;1,2;0,6
Romania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;222,8;199,2;295,5;61,7;27,8;56,9;151,4;40,6;54,8;40,7;30,2;17,9;14,2;9,2;8,7;4,9;6,6;6,3;4,8;8;3,1;5;1,6;0,8;-0,9;-0,5;3,3;3,3
Russian Federation;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;160,4;2512,3;840,1;214,8;131,3;21,8;11;84,4;36,6;20,2;18,6;15,1;12;11,7;10,9;9;11,9;13,3;8,8;8,8;6,1;6,6;6,5;11,4;12,9;5,4;2,5;4,3
Rwanda;no data;3,1;18,4;1,8;5,9;-1,9;2,4;2,9;2,3;0,7;6;21,4;14,5;7,5;42,4;40,7;8,7;16,6;-6;2;5,9;-0,2;6,2;7,7;10,3;5,6;12,1;6,6;22,3;5,7;0,2;8,3;3,9;3,6;2,1;4,5;7,3;0,7;1,1
Saint Kitts and Nevis;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3,7;4,6;1,5;1,4;1,3;2,6;3,1;11,3;0,9;2,1;3,1;2,6;1,8;2,9;1,7;6;7,9;2,9;6,5;1,2;4,3;2;0,5;0,6;-0,5;-2,4;0;0,8;-0,7
Saint Lucia;21,4;9,5;0,6;1,3;1,5;1;4,5;5,1;1,6;3,8;6;6,3;3,2;0,7;5,9;4,6;-2,3;1,9;3,6;2;6,9;3;-0,7;0,5;3,5;5,2;0,7;6,8;3,4;-3,1;4,2;4,8;5;-0,7;3,7;-2,6;-2,8;2;2,2
Saint Vincent and the Grenadines;18,9;8,4;4,8;5,1;2,1;1,3;0,5;3,4;2,1;3,5;9,1;2,3;3,1;4,5;0,4;3,1;3,6;0,8;3,3;-1,8;1,4;2,2;-0,4;2,8;1,3;3,9;4,8;8,3;9,4;-2,2;0,9;4,7;1;0;0,1;-2,1;1;3;1,4
Samoa;no data;no data;no data;no data;no data;no data;2,7;11,2;3,2;12,3;8,4;0,6;6,8;4,4;6,2;1,7;5,7;3,8;2,1;-0,6;2,7;1,2;9,9;0;15,3;1,1;2,1;8;8,9;10;-0,3;2,9;5,5;-1,7;0,2;0,4;2,3;1;5,8
San Marino;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,1;1,9;2;4;3,2;2;3;2;2,5;1,5;0,5;0,2;0,8;1;1,5
Saudi Arabia;4,4;2,8;0,9;0,2;-1,6;-3,1;-3,2;-1,6;0,9;1;2,1;4,6;-0,4;0,8;0,6;5;0,9;-0,4;-0,2;-1,2;-1,9;-0,6;0,7;0,4;0,6;1,1;3;6,3;9,1;4,3;5,4;2,7;3,6;2,5;1,9;1,3;1,2;-1,1;2,3
Senegal;no data;11,3;15,9;12,4;9,7;11,7;4,1;-5,2;-2,1;0,8;-0,9;-0,7;-0,5;0,5;37,5;5,5;2,5;2;0,9;0,5;1,4;4,1;1,5;-1,5;1,7;1,4;3,9;6,2;5,5;-4,5;4,3;2,7;1,1;-0,1;-0,8;0,4;2,1;-0,7;1,3
Serbia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;9;44,4;45,4;112;26,3;2,5;4,1;14,2;15,8;5,7;11;8,6;6,6;10,2;7;12,2;2,2;1,8;1,6;1,5;3;2
Seychelles;no data;no data;no data;3,8;0,9;1,5;2,3;1,4;1,9;3,6;3;2;0,8;0,9;1,4;-0,8;-0,1;2,3;4,5;6,3;6,1;3;1,8;3,6;1,8;-1,6;0,2;16,7;63,3;-2,5;0,4;5,5;5,8;3,4;0,5;3,2;-0,2;3,5;3,4
Sierra Leone;no data;25,4;44,7;83,1;52,3;74,5;116,3;116,8;38,3;85,5;98,3;115,4;34,8;26,7;17,7;34,5;6,4;66,9;-5,7;36,7;-3,1;3,4;-3,1;11,3;14,4;13,1;8,3;13,8;9,3;7,5;7,4;6,6;6,2;5,4;4,6;8,4;17,4;15,3;17,5
Singapore;6;10,3;0,8;1,1;0,9;0,7;-1,4;1,5;1,4;3,3;3,8;2,9;1,8;2,6;2,9;0,8;2;2;-1,4;0,7;2,1;-0,6;0,4;0,7;1,3;1,3;0,8;3,8;5,4;-0,5;4,6;5,5;4,3;1,5;-0,1;-0,6;0,2;0,4;0,5
Slovak Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11,8;7,4;5,5;6,3;5,9;12;8,4;6,6;3,1;9,2;5,8;3,7;3,5;2,3;3,5;0;1,3;4,6;3,4;0,4;-0,2;-0,5;0,3;2;1,9
Slovenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;22,7;19,5;9;9,2;8,7;6,5;8;8,9;7;7,2;4,6;3,2;2,3;2,8;5,7;2,1;1,8;1,9;2;2,7;0,7;0,1;-0,4;0,5;1,7;1,4
Solomon Islands;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;12,9;10,7;9,6;10,3;10,3;6,8;8,1;6,4;15,4;3,8;7,5;8,9;9,9;10,9;18,1;1,7;0,7;9,4;5,1;2,5;4,2;3,5;-2,2;2,1;3,2
Somalia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2,8;1,3;0,3;1,2;6,1;3,2
South Africa;no data;12,8;13,2;11,7;11,9;18,7;18;15,2;12,4;15,4;14,6;16,1;9,6;9,6;9,6;6,9;9,5;6,2;9,1;2,1;6,8;4,7;12,4;0,2;3,5;3,6;5,8;8,8;10,1;6,3;3,5;6,2;5,7;5,4;5,3;5,3;6,7;4,7;4,9
South Sudan, Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;25,2;-8,8;9,9;109,9;479,7;117,7;40,1
Spain;15,2;14,4;14;12,2;9;8,2;8,3;4,6;5,8;6,9;6,5;5,5;5,4;4,9;4,3;4,3;3,3;1,9;1,4;2,8;4;2,7;4;2,6;3,2;3,7;2,7;4,2;1,4;0,8;3;2,4;2,9;0,3;-1;0;1,6;1,1;1,2
Sri Lanka;24,7;18,3;5,4;21,4;9,5;1,5;9,1;10,2;15;15,1;19,6;9;13,8;10,3;4,2;11,5;16,8;10,7;3,7;4;10,8;10,8;11,3;12,2;13,1;7,5;13,3;18,8;13,9;5,1;6,8;4,9;9,3;4,6;1,4;4,6;4,5;7,1;2,8
Sudan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;97,8;150,3;118,6;105,6;70,8;85,6;30,3;26,4;8;1,8;4,2;22,7;8,3;7,3;5,5;15,8;8,7;14,9;13,4;15,4;18,9;44,4;41,9;25,7;12,6;30,5;25,2;72,9
Suriname;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;14;33;139,1;255,8;-49,3;4,2;17;14,9;71,9;44,7;0,9;28,4;13,1;9,1;20,1;4,8;8,3;9,4;1,3;10,3;15,2;4,3;0,6;3,9;25,1;52,4;9,3;5,4
Sweden;14,1;9,1;9,6;9,2;8,2;5,6;3,3;5,1;6;6,6;5,2;6,5;0,5;5,1;2,6;2,3;0,5;2,6;0,1;1;1,5;3;1,6;1,9;1,1;1,1;1,4;2,3;2,7;2,3;1,8;0,8;1;0,3;0,3;0,9;1,4;1,8;2,2
Switzerland;4,4;6,6;5,4;2,1;2,9;3,2;0;1,9;2;5;5,3;5,3;3,5;2,5;0,4;1,9;0,8;0,3;-0,2;1,6;1,5;0,3;0,9;0,6;1,3;1;0,6;2;0,7;0,3;0,5;-0,6;-0,4;0,1;-0,3;-1,3;0;0,9;0,7
Syria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;9,6;8,2;17,3;14,1;9,3;4,9;1,6;-2,2;-3,7;-3,9;8,5;-0,5;4,8;10;4,9;6,7;4,8;15,4;1,7;6,3;no data;no data;no data;no data;no data;no data;no data;no data
S?o Tom? and Pr?ncipe;no data;11,5;0,4;7;3,2;0,1;13,9;25;41,2;44,8;40,4;52,7;27,3;32,7;75,4;36,9;51,7;80,5;20,8;9,6;9,6;9,4;9;10;15,2;17,2;24,6;27,6;24,8;16,1;12,9;11,9;10,4;7,1;6,4;4;5,1;7,7;9
Taiwan Province of China;22;7,7;2,4;-1,2;1,6;-1,3;2,6;1,9;1,1;3,1;4,6;3,9;3,4;4,6;2,7;4,6;2,5;0,3;2,1;0,2;1,6;-1,7;0,8;-0,1;1,6;2,2;0,7;3,3;1,3;-0,2;1,2;2;1,6;0,3;0,6;0,1;1,7;1,2;-0,1
Tajikistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7344;1,1;2144,2;40,5;163,6;2,7;30,1;60,6;12,5;14,5;13,7;5,7;7,1;12,5;19,8;11,9;4,9;9,8;9,3;6,4;3,7;7,4;5,1;6,1;6,7;5,4
Tanzania;no data;26,3;23,4;34,5;27,6;39,2;28,5;32,3;30,8;36,9;18,6;37,8;20,7;26,1;38;26,8;15,5;15,4;11,3;7;5,5;4,9;4,4;4,6;4,1;5;6,7;6,4;13,5;12,2;5,6;19,8;12,1;5,6;4,8;6,8;5;4;3,3
Thailand;no data;no data;no data;no data;-0,8;3,6;1,9;3,7;3;6,4;6,4;4,5;3,3;4,2;4,8;7,5;4,8;7,5;4,4;0,6;1,6;0,6;1,7;1,8;2,9;5,8;3,6;3;0,5;3,5;3,1;3,5;3,6;1,7;0,6;-0,9;1,1;0,8;0,4
Timor-Leste;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;6;5,7;5,5;2,5;1;6,6;7,7;6,2;1;8;15,5;9,2;4;0,3;-0,6;0;0,6;2,1
Togo;no data;11;16,6;-0,2;-3,1;4,6;1,4;-0,5;0,7;-3;1,5;5;-2,1;2,4;48,5;6,4;4,9;3;-1,4;4,5;-1,2;6,6;1,5;-1,7;3,7;3,6;0,6;3;8,7;1,8;1,6;1,5;2,9;-0,5;1,8;1,6;0,4;-0,7;2
Tonga;no data;no data;no data;3,9;5,3;12,5;27,4;2,5;13,6;4;6,9;13,8;8,4;-2,7;7,6;0;3,1;2;3,1;6,3;7,2;10,7;12;11,7;10,1;7,3;4,9;6,8;6,4;1,2;5;3,8;2,5;0,7;0,4;-1,1;6,7;5,6;4,8
Trinidad and Tobago;no data;14,4;37,8;-2;-7,9;-8,6;3,5;-4,9;-3,4;2,9;5,8;224;9,6;15,5;5,7;4;4,5;3,7;5,7;3,7;5,8;3,3;4,5;3,1;5,9;7,8;10;8,2;16,9;1,3;15,4;5,5;7,7;5,7;8,4;1,6;3,1;1,3;1
Tunisia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;6,6;4,8;4,7;5,6;5,6;3,2;3,8;2,8;2,8;1,7;2,9;1,6;4,5;1,3;3,5;3,4;5,1;4,1;4,1;3,5;3,4;5,4;5,2;4,4;3,8;4,2;6,2;7,5
Turkey;no data;no data;no data;no data;no data;no data;30,7;55;66,2;64,3;60,4;71,1;66;71,1;115,7;76,3;80,1;99;69,6;68,8;39;68,5;29,7;18,4;9,4;7,7;9,7;8,4;10,1;6,5;6,4;10,4;6,2;7,4;8,2;8,8;8,5;11,9;20,3
Turkmenistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1327,9;1261,5;445,8;21,5;19,8;20,1;7,4;11,7;7,8;3,1;9;10,4;7,1;8,6;8,9;0,1;4,8;5,6;7,8;4;4,4;6;6,2;10,4;7,2
Tuvalu;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;4,6;0;5,8;2,2;3,9;6,1;0,5;12,3;-4;-1,8;1,7;1,3;3,1;0,4;4;2,6;4,4;2,3
