Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;
18.5. ИСПОЛЬЗОВАНИЕ ЭЛЕКТРОННОГО ДОКУМЕНТООБОРОТА В ОРГАНИЗАЦИЯХ;;;;;;;;;;;;
"18.5.2. Организации, использовавшие электронный обмен данными между своими и внешними информационными системами, по форматам обмена1);2)";;;;;;;;;;;;
(в процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации);;;;;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Российская Федерация;31,3;24,3;25,7;52,7;59,6;62,4;63,1;64,9;;;;
Центральный   федеральный округ;28,9;23,3;24,3;54,2;62,0;65,9;67,6;68,7;;;;
Белгородская область;36,3;25,9;28,7;57,9;67,9;70,8;71,8;72,6;;;;
Брянская область;26,0;19,4;20,2;41,1;57,3;69,2;67,1;66,4;;;;
Владимирская область;32,2;21,8;23,1;51,8;59,8;64,8;60,5;66,5;;;;
Воронежская область;31,6;24,6;26,2;48,7;58,2;62,4;66,3;65,0;;;;
Ивановская область;30,2;22,8;24,9;53,5;62,5;66,8;65,5;66,9;;;;
Калужская область;26,6;26,1;25,3;48,7;59,9;64,3;64,9;68,4;;;;
Костромская область;28,7;20,2;24,1;50,2;52,7;53,2;57,9;59,2;;;;
Курская область;24,0;23,8;23,2;80,6;55,9;61,2;63,4;62,3;;;;
Липецкая область;30,2;28,8;30,7;55,0;66,4;69,7;69,0;70,9;;;;
Московская область;27,3;22,5;22,8;53,8;62,0;63,5;68,1;69,3;;;;
Орловская область;25,2;18,2;18,5;51,8;61,5;67,6;69,7;69,4;;;;
Рязанская область;28,9;22,5;22,4;48,5;62,2;67,6;72,0;70,4;;;;
Смоленская область;26,5;21,7;24,6;51,6;62,3;66,2;71,6;68,6;;;;
Тамбовская область;5,5;21,3;22,9;47,0;56,9;62,4;63,7;67,6;;;;
Тверская область;25,4;15,2;17,9;39,9;45,6;50,5;52,2;56,3;;;;
Тульская область;30,5;20,2;23,6;49,5;58,9;62,5;60,7;60,3;;;;
Ярославская область;30,7;22,7;24,4;55,2;63,7;66,7;65,2;67,0;;;;
г. Москва;41,0;31,5;30,3;69,3;78,7;79,4;78,3;78,2;;;;
Северо-Западный     федеральный округ;32,1;26,9;27,6;58,0;66,2;69,4;66,7;67,1;;;;
Республика Карелия;46,0;49,4;60,0;73,7;75,8;67,5;67,3;67,7;;;;
Республика Коми;25,8;25,4;26,1;52,2;56,7;60,7;57,2;60,1;;;;
Архангельская область;33,0;24,3;27,5;52,0;59,3;58,8;58,2;60,2;;;;
в том числе: ;;;;;;;;;;;;
Ненецкий автономный   округ;32,4;23,6;28,2;44,4;56,5;61,2;58,2;60,7;;;;
Архангельская область    без автономного округа;33,1;24,4;27,3;53,0;59,7;58,5;58,2;60,2;;;;
Вологодская область;29,9;21,2;23,7;54,9;60,3;62,8;63,8;63,6;;;;
Калининградская область;25,7;21,2;21,1;46,6;58,0;63,3;63,1;62,1;;;;
Ленинградская область;33,5;25,0;26,1;56,0;69,3;75,2;70,7;70,3;;;;
Мурманская область;30,9;32,2;29,0;51,6;80,2;80,3;62,6;65,0;;;;
Новгородская область;31,1;25,6;23,6;54,7;64,0;74,7;70,7;70,3;;;;
Псковская область;28,4;22,4;24,6;72,6;65,4;66,1;64,6;68,4;;;;
г. Санкт-Петербург;38,4;31,2;30,8;67,9;72,4;76,1;76,2;73,7;;;;
Южный          федеральный округ;32,2;23,5;24,2;45,8;53,2;57,3;60,0;62,0;;;;
Республика Адыгея;30,8;19,9;24,8;44,6;51,8;58,0;63,0;58,6;;;;
Республика Калмыкия;35,7;18,6;21,8;51,6;60,6;58,6;57,3;56,9;;;;
Республика Крым;;;;61,5;70,1;74,2;73,3;67,5;;;;
Краснодарский край;34,9;23,2;24,5;44,2;49,4;52,6;55,8;57,7;;;;
Астраханская область;38,3;26,0;24,1;51,0;58,3;63,9;84,4;65,3;;;;
Волгоградская область;32,2;23,9;24,4;47,4;50,0;56,6;53,8;58,6;;;;
Ростовская область;28,7;23,8;24,1;43,5;56,6;57,5;60,9;69,3;;;;
г. Севастополь;;;;54,5;64,7;46,1;62,4;69,3;;;;
Северо-Кавказский        федеральный округ;33,4;26,2;25,7;47,8;56,2;57,5;55,2;54,1;;;;
Республика Дагестан;27,4;24,1;12,9;24,5;50,6;49,8;42,7;40,1;;;;
Республика Ингушетия;12,9;29,0;11,8;26,4;53,8;59,5;73,1;73,3;;;;
Кабардино-Балкарская   Республика;33,2;19,1;25,6;55,1;54,8;57,6;51,8;51,7;;;;
Карачаево-Черкесская     Республика;31,6;23,2;24,5;41,7;54,8;57,6;65,2;64,5;;;;
Республика Северная    Осетия – Алания;32,5;16,4;19,7;37,3;45,5;55,8;52,5;57,1;;;;
Чеченская Республика;17,6;35,2;32,0;6,3;38,5;37,1;39,1;40,0;;;;
Ставропольский край;38,7;30,6;29,9;78,0;71,3;72,4;72,5;72,0;;;;
Приволжский      федеральный округ;31,5;24,4;28,2;56,1;60,9;63,5;64,2;66,7;;;;
Республика Башкортостан;34,0;27,8;27,7;51,1;64,0;62,4;63,6;60,3;;;;
